id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19024736,28,-0.158021,-0.0489803,0.00536127,-0.010812,-0.202339,-0.134242,400.0,0.243061,1.07216,0.72035,-5.08279,5.24435,86.9413,85.3953,87.4505,18.9113,-3.34682,3.52142,19.5254,-283.047,60.8379,-70.9943,298.089,0.10102,s20140924_123536_3110
19024737,29,-0.158076,-0.0509685,0.00376284,-0.000313044,-0.19549,-0.185311,400.0,0.269363,0.991768,0.62715,-4.9858,5.12202,89.9082,89.9032,89.9334,15.1656,-2.58413,2.70046,15.6194,-391.095,81.5781,-85.1118,408.478,0.0990315,s20140924_123536_3110
19024738,30,-0.158031,-0.0528939,0.00166313,0.00902336,-0.189796,-0.233958,400.0,0.301397,0.822282,0.51065,-4.5657,4.66718,92.7219,92.2087,91.7156,11.0894,-1.71526,1.81919,11.3678,-384.089,87.4472,-85.231,403.033,0.0971061,s20140924_123536_3110
19024739,31,-0.157903,-0.0547683,-0.000896385,0.0161326,-0.185277,-0.276625,400.0,0.33333,0.537362,0.3875,-3.78105,3.83865,94.9764,93.3377,92.7741,7.48377,-0.835191,0.99584,7.59579,-330.509,89.9181,-79.0998,351.537,0.0952317,s20140924_123536_3110
19024740,32,-0.15772,-0.0566038,-0.00383699,0.0197706,-0.182046,-0.309579,400.0,0.359681,0.122125,0.26205,-2.6337,2.64952,96.1982,93.6541,93.151,4.47927,0.083105,0.237189,4.48631,-282.226,95.0359,-73.7321,306.789,0.0933962,s20140924_123536_3110
19024741,33,-0.157524,-0.0584133,-0.00704385,0.0185751,-0.180036,-0.329299,400.0,0.37576,-0.388945,0.13295,-1.1481,1.21946,95.8906,93.2285,92.8335,1.83925,1.06553,-0.478802,2.17886,-265.071,101.858,-70.5298,292.595,0.0915867,s20140924_123536_3110
19024742,34,-0.157366,-0.060209,-0.010368,0.0119917,-0.179387,-0.332541,400.0,0.37803,-0.910738,-0.02885,0.57365,1.07673,93.8244,92.0652,91.8178,-0.822151,2.12026,-1.17341,2.55897,-281.695,113.292,-70.932,311.799,0.089791,s20140924_123536_3110
19024743,35,-0.157301,-0.0620073,-0.0136348,0.000360341,-0.180613,-0.317826,400.0,0.365561,-1.36626,-0.2425,2.27545,2.66517,90.1143,90.065,90.0565,-3.79464,3.33137,-1.89744,5.39422,-319.743,129.497,-73.219,352.656,0.0879927,s20140924_123536_3110
19024744,36,-0.157373,-0.0638293,-0.016671,-0.0153335,-0.184237,-0.287032,400.0,0.341417,-1.67483,-0.4866,3.67125,4.06447,85.2424,86.9421,87.4259,-7.21702,4.71019,-2.63779,9.01272,-357.973,139.68,-69.3823,390.473,0.0861707,s20140924_123536_3110
19024745,37,-0.157614,-0.0657003,-0.019336,-0.0331362,-0.190345,-0.244401,400.0,0.311546,-1.78013,-0.6934,4.59665,4.97784,80.1246,82.2788,83.8944,-10.9541,6.12497,-3.28509,12.973,-355.302,131.836,-54.1443,382.821,0.0842997,s20140924_123536_3110
